experiment,station,metric,score
BARENTS,BARENTS,nrmse_std,0.000902072321252081
BARENTS,BARENTS,nrmse_mean,0.0004071534401929984
BARENTS,BARENTS,rmse,0.0004952621125916634
BARENTS,BARENTS,mae,0.00016703439982262668
BARENTS,BARENTS,nmae,0.00013731845984032978
PAPA,PAPA,nrmse_std,0.00011766175201739486
PAPA,PAPA,nrmse_mean,3.4909701483775067e-05
PAPA,PAPA,rmse,9.256585694967555e-05
PAPA,PAPA,mae,7.578958716575383e-05
PAPA,PAPA,nmae,2.858280526667009e-05
Bay_of_Biscay,Bay_of_Biscay,nrmse_std,3.3512726389383e-05
Bay_of_Biscay,Bay_of_Biscay,nrmse_mean,1.350445197859873e-05
Bay_of_Biscay,Bay_of_Biscay,rmse,2.6503022982545703e-05
Bay_of_Biscay,Bay_of_Biscay,mae,2.2688330431668515e-05
Bay_of_Biscay,Bay_of_Biscay,nmae,1.1560698905586411e-05
BATS,BATS,nrmse_std,2.8337441240447204e-06
BATS,BATS,nrmse_mean,1.6534557303647733e-06
BATS,BATS,rmse,6.536003734531412e-07
BATS,BATS,mae,4.5554768825276025e-07
BATS,BATS,nmae,1.1524288635522839e-06
Canaries,Canaries,nrmse_std,5.5943986971129174e-08
Canaries,Canaries,nrmse_mean,1.91471116136432e-08
Canaries,Canaries,rmse,1.7330476126949066e-08
Canaries,Canaries,mae,1.3711143837877785e-08
Canaries,Canaries,nmae,1.5148389432089935e-08
HOT,HOT,nrmse_std,0.05473996605045537
HOT,HOT,nrmse_mean,0.013397515488250498
HOT,HOT,rmse,0.0034011193667503286
HOT,HOT,mae,0.0020300141899246087
HOT,HOT,nmae,0.00799652808918298
MERGED,BARENTS,nrmse_std,0.0009119962800421221
MERGED,PAPA,nrmse_std,0.001225799264151174
MERGED,Bay_of_Biscay,nrmse_std,6.759042655292884e-05
MERGED,BATS,nrmse_std,3.889669315814826e-05
MERGED,Canaries,nrmse_std,6.449117414281416e-05
MERGED,HOT,nrmse_std,7.097386952006614e-05
MERGED,BARENTS,nrmse_mean,0.00041163265307483303
MERGED,PAPA,nrmse_mean,0.00036368901241775074
MERGED,Bay_of_Biscay,nrmse_mean,2.7236568549857003e-05
MERGED,BATS,nrmse_mean,2.2695754231607378e-05
MERGED,Canaries,nrmse_mean,2.2072429518557777e-05
MERGED,HOT,nrmse_mean,1.737073631503003e-05
MERGED,BARENTS,rmse,0.0005007106344893383
MERGED,PAPA,rmse,0.0009643504145481395
MERGED,Bay_of_Biscay,rmse,5.345284676390427e-05
MERGED,BATS,rmse,8.971485095828198e-06
MERGED,Canaries,rmse,1.997824635662353e-05
MERGED,HOT,rmse,4.409768941679855e-06
MERGED,BARENTS,mae,0.00012934904008924796
MERGED,PAPA,mae,0.00010939930410348098
MERGED,Bay_of_Biscay,mae,4.7913039054694185e-05
MERGED,BATS,mae,7.4331442734177745e-06
MERGED,Canaries,mae,1.8439760231950126e-05
MERGED,HOT,mae,4.239108632788466e-06
MERGED,BARENTS,nmae,0.00010633744298026053
MERGED,PAPA,nmae,4.125816121230903e-05
MERGED,Bay_of_Biscay,nmae,2.441379368266664e-05
MERGED,BATS,nmae,1.8804112562814895e-05
MERGED,Canaries,nmae,2.037267439761472e-05
MERGED,HOT,nmae,1.6698479953211535e-05
