family,metric,station,param,S1,S1_conf,ST,ST_conf
raw,mean,BARENTS,energy_transfert,0.09159291193895205,0.013673814501994093,0.32429723570638963,0.04543684798879082
raw,mean,BARENTS,tr_0,0.0011603993727552831,0.0017138164591863723,0.005600870417734446,0.0015984828528139805
raw,mean,BARENTS,gamma_tr,0.00033427687543793064,0.0006221839643044553,0.000612406727235461,0.0001548278905655668
raw,mean,BARENTS,lambda_temperature_0,0.6761195977885909,0.08107792109046379,0.9097022664766609,0.05823958854529817
raw,mean,BARENTS,gamma_lambda_temperature,0.0018463452816326804,0.0029109279410105193,0.008561922654642744,0.0012295056237349156
raw,mean,PAPA,energy_transfert,0.04751535105990571,0.015519072334952049,0.2923165383550387,0.06514728524830618
raw,mean,PAPA,tr_0,-3.2772927114990137e-05,0.0006373424739663976,0.0007629213059546518,0.0001813096641528344
raw,mean,PAPA,gamma_tr,-0.00016959819847627805,0.00083186540547964,0.0009640812209194401,0.00016173387580332245
raw,mean,PAPA,lambda_temperature_0,0.4887361241712995,0.0965475089062575,0.8794536573816918,0.12319369864709757
raw,mean,PAPA,gamma_lambda_temperature,0.05719592085587083,0.019219470960465643,0.3059389979872694,0.06309030699913781
raw,mean,Bay_of_Biscay,energy_transfert,0.03999027643249546,0.017924607848642752,0.29082356956538186,0.10440541113721998
raw,mean,Bay_of_Biscay,tr_0,7.064844835515905e-05,0.00021469012673780698,0.00012288720753431064,4.749379476611641e-05
raw,mean,Bay_of_Biscay,gamma_tr,4.313152920748431e-05,0.00032757450499732235,0.00017396225038550153,6.247171483155135e-05
raw,mean,Bay_of_Biscay,lambda_temperature_0,0.38342781049027663,0.08922398793087702,0.8461707754845085,0.15228419205996685
raw,mean,Bay_of_Biscay,gamma_lambda_temperature,0.08771603998398074,0.037303841706223966,0.4560428376954008,0.11595629540727068
raw,mean,Canaries,energy_transfert,0.033712561343690564,0.019225736014010182,0.2890165481230467,0.09415297307816553
raw,mean,Canaries,tr_0,4.099893314046918e-05,7.21590050309199e-05,3.436279085352903e-05,3.144482107982721e-05
raw,mean,Canaries,gamma_tr,-9.693375692483015e-06,8.977613573017625e-05,5.447700318366865e-05,3.932543911491775e-05
raw,mean,Canaries,lambda_temperature_0,0.2970900309481443,0.08595533551276577,0.8140616553381979,0.15744423678601838
raw,mean,Canaries,gamma_lambda_temperature,0.11553499129395263,0.040525698005469915,0.5741768094250947,0.12933949658718583
raw,mean,BATS,energy_transfert,0.033467354412822434,0.017149691634072272,0.2895292852195561,0.10893155358352372
raw,mean,BATS,tr_0,1.105065088399141e-05,0.00017722443875519344,0.00014006901768989484,6.155147808582914e-05
raw,mean,BATS,gamma_tr,-3.806071083114335e-05,0.00028844676285197715,0.00029933592587533204,9.191251271664065e-05
raw,mean,BATS,lambda_temperature_0,0.27349409235921285,0.0796609239687484,0.7974328668258117,0.16015296160824613
raw,mean,BATS,gamma_lambda_temperature,0.12895274272839335,0.05250716295133316,0.6049100266394083,0.14023723893700138
raw,mean,HOT,energy_transfert,0.029711663534036255,0.017716142123322644,0.2870013046200329,0.10722895419469149
raw,mean,HOT,tr_0,1.5669360547254967e-05,4.7900043238553775e-05,3.407841756452059e-05,2.3430341250252317e-05
raw,mean,HOT,gamma_tr,-3.396821487635817e-05,7.61507157398759e-05,5.882344763484505e-05,3.826806611461349e-05
raw,mean,HOT,lambda_temperature_0,0.23790814261128979,0.07857640903808663,0.7920496124858438,0.16373643092429663
raw,mean,HOT,gamma_lambda_temperature,0.13533922580507463,0.0588214242708462,0.6510882204529067,0.17003506950417127
raw,variance,BARENTS,energy_transfert,0.16205611863433056,0.026992980767451238,0.5577287897094021,0.09527497926311455
raw,variance,BARENTS,tr_0,0.021231788500728318,0.013041540454139184,0.20375248923907524,0.042966112255179004
raw,variance,BARENTS,gamma_tr,0.0009296525998464402,0.0021349785619461372,0.009002137863890489,0.0023964036164788667
raw,variance,BARENTS,lambda_temperature_0,0.3532606195040968,0.05550787297354986,0.8046941107973414,0.1065342367974025
raw,variance,BARENTS,gamma_lambda_temperature,0.004121527879621097,0.006310149558520583,0.02808192147517122,0.0048908639963555324
raw,variance,PAPA,energy_transfert,0.07015152034707146,0.028408014772425633,0.47329453245751074,0.18050952928522115
raw,variance,PAPA,tr_0,0.005781650736263395,0.010072818094083847,0.1681622924506156,0.07834626205138193
raw,variance,PAPA,gamma_tr,0.009762865343768204,0.019674628945088795,0.27070771377573244,0.11309380531770664
raw,variance,PAPA,lambda_temperature_0,0.21048095907603576,0.08341607751451512,0.7052781361519672,0.19849122639996916
raw,variance,PAPA,gamma_lambda_temperature,0.04551683632624319,0.015783338153198455,0.22051257512056274,0.08363521411136136
raw,variance,Bay_of_Biscay,energy_transfert,0.0654229267372613,0.028703507115424885,0.5464701269554405,0.26085308035625115
raw,variance,Bay_of_Biscay,tr_0,0.0030878675132063904,0.004034910367133025,0.016041217801926,0.009421628767364163
raw,variance,Bay_of_Biscay,gamma_tr,0.005225603453682932,0.005628942013197062,0.02077779442506042,0.007341475270374567
raw,variance,Bay_of_Biscay,lambda_temperature_0,0.25243038521232836,0.061253106547032796,0.6947370219490103,0.16446612403483188
raw,variance,Bay_of_Biscay,gamma_lambda_temperature,0.07299674931589195,0.030174248189949696,0.3648055804291739,0.10172739890981361
raw,variance,Canaries,energy_transfert,0.0259313997541572,0.019887841452085744,0.38159254985909974,0.28964490122459186
raw,variance,Canaries,tr_0,0.0004889584155246511,0.0015813250665097536,0.039985625638470634,0.052338908468245064
raw,variance,Canaries,gamma_tr,0.0009196849448057133,0.0023140961887793184,0.05308008695355324,0.03691170167726873
raw,variance,Canaries,lambda_temperature_0,0.2122758569497465,0.10944424211776445,0.563128332540531,0.28731104502639837
raw,variance,Canaries,gamma_lambda_temperature,0.02620288504272118,0.01688973906928448,0.25808578903167123,0.14299708763403174
raw,variance,BATS,energy_transfert,0.04354008970985795,0.037841550719403684,0.42676813114932066,0.13080935376812017
raw,variance,BATS,tr_0,-0.00017258762565870486,0.0010466843061654487,0.016079924164193134,0.014672585152842994
raw,variance,BATS,gamma_tr,-0.0013244960947749144,0.003129406132977705,0.03396324873823195,0.015910513441259252
raw,variance,BATS,lambda_temperature_0,0.1963865654442111,0.06233918466167324,0.6973198043058388,0.16567784142596387
raw,variance,BATS,gamma_lambda_temperature,0.0661732575349824,0.025109841694630076,0.4573588204858658,0.11912526431834129
raw,variance,HOT,energy_transfert,0.011754067538793938,0.014463654406474845,0.4176876327133454,1.2258296688438648
raw,variance,HOT,tr_0,3.318875807277351e-05,0.0006004475329899654,0.029271571857978955,0.043855202081954155
raw,variance,HOT,gamma_tr,-2.825951837821909e-05,0.0011526172380370617,0.0461382036307067,0.06075789224740965
raw,variance,HOT,lambda_temperature_0,0.09591711256842964,0.10110304564368884,0.414568198679772,0.48105626222588677
raw,variance,HOT,gamma_lambda_temperature,0.02359292186926389,0.029318039926833125,0.30060626242750077,0.39689548508546374
raw,argmax,BARENTS,energy_transfert,0.0,0.0,0.0,0.0
raw,argmax,BARENTS,tr_0,0.7245387082340768,0.028902981166659243,0.9599872535532287,0.020604875428553292
raw,argmax,BARENTS,gamma_tr,0.006036247374371471,0.015249055618465814,0.22543992300739654,0.019300098742573175
raw,argmax,BARENTS,lambda_temperature_0,0.03488571468923898,0.011623191671974798,0.1382760553503172,0.012728579541414754
raw,argmax,BARENTS,gamma_lambda_temperature,0.0017830251166872195,0.004254564637138225,0.01956380696951866,0.0065900641903288626
raw,argmax,PAPA,energy_transfert,0.0,0.0,0.0,0.0
raw,argmax,PAPA,tr_0,0.1079915995044138,0.02683792378333162,0.7356565245565055,0.02470501798035125
raw,argmax,PAPA,gamma_tr,0.1777047382170112,0.025563957806004338,0.7919210897868671,0.023328892640558978
raw,argmax,PAPA,lambda_temperature_0,0.03594000100097135,0.018689430765492714,0.30335240804486086,0.01998064454138634
raw,argmax,PAPA,gamma_lambda_temperature,0.009016771178967275,0.014055099344429837,0.22834271006075632,0.015371072188584923
raw,argmax,Bay_of_Biscay,energy_transfert,0.0,0.0,0.0,0.0
